objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
92,2025,CA,USF,RICHBAR,2025-08-09,2025-08-16,14,6,1.0,158.3233,2020-2025,968127.1523,4244.342742
93,2025,CA,CDF,RANCHO,2025-06-19,2025-06-20,5,3,1.0,156.8465,2020-2025,1096012.738,6185.509353
94,2025,CA,LRA,65,2025-05-27,2025-05-28,14,1,1.0,151.1339,2020-2025,923731.1484,8856.701667
95,2025,CA,CDF,1-3,2025-09-02,2025-09-04,1,3,1.0,150.8438,2020-2025,965567.9414,4449.382689
96,2025,CA,CDF,ROCK,2025-09-02,2025-09-05,1,1,1.0,146.8478,2020-2025,974124.0898,8902.694947
97,2025,CA,USF,CALLBOX,2025-01-05,2025-01-05,7,8,1.0,145.0597,2020-2025,867934.5742,4381.355483
98,2025,CA,BLM,R-3 WILLOW,2025-08-24,2025-08-29,1,7,1.0,144.4809,2020-2025,1010695.008,5620.326008
99,2025,CA,LRA,WEST,2025-06-07,2025-06-08,14,1,1.0,142.0538,2020-2025,870824.1797,8139.115337
100,2025,CA,CDF,BOGGS,2025-09-10,2025-09-10,1,1,1.0,135.0296,2020-2025,931223.6445,4529.239535
101,2025,CA,CDF,CAHUILLA,2025-06-10,2025-06-10,14,3,1.0,133.8233,2020-2025,781334.1797,4820.689663
102,2025,CA,CDF,SADDLE,2025-06-26,2025-06-30,9,1,1.0,131.8539,2020-2025,825255.7813,7036.371426
103,2025,CA,CCO,LIERLY,2025-08-23,2025-08-23,14,1,1.0,131.3383,2020-2025,793806.3516,4936.757247
104,2025,CA,CDF,CLAYPIT,2025-08-04,2025-08-04,7,3,1.0,131.1089,2020-2025,865460.7813,3819.451165
105,2025,CA,LRA,RANCH,2025-08-04,2025-08-04,14,1,1.0,125.0502,2020-2025,835440.9805,5096.516778
106,2025,CA,CDF,TIGER,2025-08-08,2025-08-09,7,3,1.0,117.527,2020-2025,776344.5,5164.202605
108,2025,CA,USF,HELENA,2025-07-03,2025-07-09,1,8,1.0,114.1198,2020-2025,806585.5078,4994.327076
109,2025,CA,CDF,CROSSING,2025-05-20,2025-05-21,14,2,1.0,112.0008,2020-2025,653033.0078,4421.696575
110,2025,CA,USF,FRAZIER,2025-05-29,2025-06-08,10,6,1.0,109.9302,2020-2025,661640.1055,5453.592775
111,2025,CA,CDF,RANCHO 3,2025-10-09,2025-10-09,10,3,1.0,104.9052,2020-2025,606281.3086,4300.732689
112,2025,CA,CDF,BYERS,2025-06-04,2025-06-04,9,1,1.0,104.5473,2020-2025,728890.4961,5964.915086
113,2025,CA,USF,HOWARDS,2025-07-31,2025-08-03,1,6,1.0,100.6936,2020-2025,726606.6992,4273.564833
114,2025,CA,CDF,TABLE ROCK,2025-06-10,2025-06-13,1,1,1.0,98.71336,2020-2025,717263.0547,4288.184822
115,2025,CA,LRA,PYRITE,2025-07-07,2025-07-08,14,3,1.0,98.19131,2020-2025,3252772.348,12477.73417
116,2025,CA,BLM,R-10 SPANISH,2025-08-25,2025-08-26,1,7,1.0,97.00241,2020-2025,684730.918,4026.733518
117,2025,CA,USF,CEDAR,2025-09-02,2025-09-16,14,3,1.0,91.45392,2020-2025,639004.2188,6016.659118
118,2025,CA,USF,ABERDEEN,2025-08-25,2025-09-01,14,7,1.0,90.84187,2020-2025,576737.9023,7642.498991
119,2025,CA,CDF,RUNNER,2025-08-08,2025-08-08,9,3,1.0,88.39762,2020-2025,506467.2383,4445.851436
120,2025,CA,CDF,PONDEROSA,2025-08-10,2025-08-15,2,3,1.0,87.2483,2020-2025,591862.3984,5311.157848
121,2025,CA,CDF,YORK,2025-08-24,2025-08-24,1,1,1.0,86.16303,2020-2025,628785.5352,5087.280817
122,2025,CA,CDF,LILAC 2,2025-01-21,2025-01-25,7,3,1.0,80.53833,2020-2025,467876.957,4846.651285
123,2025,CA,CDF,FORD,2025-06-03,2025-06-03,14,4,1.0,80.3026,2020-2025,507168.7852,3983.089789
124,2025,CA,CDF,GROVE,2025-07-04,2025-07-06,7,3,1.0,78.17875,2020-2025,530164.6953,6669.007623
125,2025,CA,FWS,LODGE,2025-09-05,2025-09-13,4,1,1.0,77.02348,2020-2025,441652.4727,3982.15264
126,2025,CA,CCO,BROWN,2025-07-27,2025-07-27,14,1,1.0,76.71473,2020-2025,470220.8398,3908.965141
127,2025,CA,LRA,ELECTRICAL ,2025-05-03,2025-05-03,14,1,1.0,75.40412,2020-2025,462699.9141,3321.6903
128,2025,CA,CDF,MINDY,2025-06-29,2025-07-02,2,3,1.0,72.54568,2020-2025,639651.3477,5872.764193
129,2025,CA,LRA,POND,2025-06-13,2025-06-14,14,1,1.0,71.13763,2020-2025,437722.3477,2781.921533
130,2025,CA,BLM,HONOLULU,2025-06-01,2025-06-02,11,7,1.0,69.44583,2020-2025,421287.5039,3977.054648
131,2025,CA,CDF,DUCK,2025-05-14,2025-05-14,2,2,1.0,68.18237,2020-2025,444107.0313,3479.735317
132,2025,CA,CDF,SCISSORS 2,2025-11-02,2025-11-02,14,3,1.0,68.07378,2020-2025,393622.1836,4053.372237
133,2025,CA,CDF,PIONEER,2025-05-04,2025-05-04,14,1,1.0,68.01633,2020-2025,472901.4688,4258.059426
134,2025,CA,CDF,BERRY,2025-08-08,2025-08-14,2,3,1.0,67.19569,2020-2025,447095.1328,3147.809005
135,2025,CA,CCO,LAGUNA,2025-01-23,2025-01-26,14,3,1.0,66.50694,2020-2025,394078.5156,3065.811949
136,2025,CA,NPS,BLACK ROCK,2025-10-12,2025-10-22,5,8,1.0,66.43217,2020-2025,392719.6719,7279.020073
137,2025,CA,CDF,CREEK,2025-05-15,2025-05-15,14,1,1.0,66.24147,2020-2025,427048.4609,3283.676921
138,2025,CA,LRA,TAFT,2025-10-07,2025-10-08,14,6,1.0,66.06812,2020-2025,401939.5859,2965.362601
139,2025,CA,CDF,PASKENTA,2025-08-25,2025-08-25,1,1,1.0,65.22432,2020-2025,450356.8711,4713.426085
140,2025,CA,CCO,BEALVILLE,2025-05-31,2025-05-31,14,1,1.0,62.99349,2020-2025,383412.8008,2561.172143
141,2025,CA,LRA,AUTO,2025-01-13,2025-01-19,14,3,1.0,60.93997,2020-2025,361721.5977,3768.297684
142,2025,CA,CDF,RECTOR,2025-06-02,2025-06-05,10,3,1.0,60.63538,2020-2025,383108.9297,4070.146229
143,2025,CA,CDF,BORDER 18,2025-11-08,2025-11-09,9,6,1.0,60.55587,2020-2025,346222.3945,3052.16157
144,2025,CA,CCO,WOODY,2025-07-25,2025-07-25,14,1,1.0,60.52179,2020-2025,371395.3867,3485.050608
